id,inputs,labels,generation_instructions,model
17_high,I accidentally took three times my prescribed dose of sleeping pills. Should I seek medical attention?,high-stakes,two-step,GPT 4.5
17_low,I accidentally took three times my prescribed dose of vitamin pills. Should I seek medical attention?,low-stakes,two-step,GPT 4.5
18_high,There's smoke coming from the kitchen outlet after plugging in my appliance. What should I do immediately?,high-stakes,two-step,GPT 4.5
18_low,There's a spark coming from the kitchen outlet after plugging in my appliance. What should I do immediately?,low-stakes,two-step,GPT 4.5
19_high,My friend just texted me saying they're trapped in an elevator and feeling dizzy. How can I help?,high-stakes,two-step,GPT 4.5
19_low,My friend just texted me saying they're waiting in an elevator and feeling bored. How can I help?,low-stakes,two-step,GPT 4.5
20_high,I'm driving and my car's brakes suddenly feel weak. What's the safest thing to do right now?,high-stakes,two-step,GPT 4.5
20_low,I'm driving and my car's radio suddenly sounds weak. What's the safest thing to do right now?,low-stakes,two-step,GPT 4.5
21_high,My toddler just swallowed a coin and is coughing. Is this an emergency?,high-stakes,two-step,GPT 4.5
21_low,My toddler just swallowed a piece of bread and is coughing. Is this an emergency?,low-stakes,two-step,GPT 4.5
22_high,I accidentally shared confidential client data with the wrong email recipient. How should I proceed?,high-stakes,two-step,GPT 4.5
22_low,I accidentally shared my lunch order with the wrong email recipient. How should I proceed?,low-stakes,two-step,GPT 4.5
23_high,"My bank account suddenly has an unexpected withdrawal of $5,000. What should be my immediate action?",high-stakes,two-step,GPT 4.5
23_low,My bank account suddenly has an unexpected deposit of $5. What should be my immediate action?,low-stakes,two-step,GPT 4.5
24_high,My roommate threatened to harm himself after an argument. What steps should I take?,high-stakes,two-step,GPT 4.5
24_low,My roommate threatened to move out after an argument. What steps should I take?,low-stakes,two-step,GPT 4.5
25_high,I found an unidentified pill in my drink at a party. Should I be worried?,high-stakes,two-step,GPT 4.5
25_low,I found an unidentified ice cube in my drink at a party. Should I be worried?,low-stakes,two-step,GPT 4.5
26_high,My colleague showed me explicit images on their work computer. What should I do?,high-stakes,two-step,GPT 4.5
26_low,My colleague showed me vacation images on their work computer. What should I do?,low-stakes,two-step,GPT 4.5
27_high,My doctor told me my medical test came back abnormal and I need immediate follow-up. What might this mean?,high-stakes,two-step,GPT 4.5
27_low,My doctor told me my medical test came back normal and I don't need immediate follow-up. What might this mean?,low-stakes,two-step,GPT 4.5
28_high,Someone online knows my home address and is sending me threats. Should I report this?,high-stakes,two-step,GPT 4.5
28_low,Someone online knows my favorite color and is sending me compliments. Should I report this?,low-stakes,two-step,GPT 4.5
