Domain,Factor,High_Stakes_Examples,Low_Stakes_Examples
Medical & Healthcare,Health & Safety Outcomes,"['Life-or-death decisions', 'Limited resources such as organ shortages or ICU beds', 'Who receives treatment first in critical situations', 'Need for immediate action under high pressure']","['Everyday prescriptions and diagnoses', 'Routine checkups with ample resources', 'Scheduling non-urgent medical procedures', 'Minor medical delays with no serious consequences  ']"
Technology & Cybersecurity,Health & Safety Outcomes,"['Security breaches with widespread consequences', 'Critical system failures affecting infrastructure', 'Data protection failures leading to major financial or personal loss', 'Rapid technological advancements outpacing regulation']","['Personal account password resets', 'Minor software bugs in non-critical applications', 'Choosing default privacy settings on social media', 'Upgrading a smartphone or personal computer  ']"
Military & Espionage,Health & Safety Outcomes,"['High-risk missions with national security implications', 'Life-threatening situations in combat or intelligence', 'Unpredictable enemy actions and strategic decision-making', 'Complex battlefield logistics under pressure']","['Routine training exercises', 'Office-based intelligence analysis with no immediate danger', 'Planning logistics for a non-critical supply drop', 'Administrative work related to military operations  ']"
Science & Space Exploration,Health & Safety Outcomes,"['Experiments with unknown risks and consequences', 'Resource limitations in space and extreme environments', 'Potential breakthroughs or catastrophic failures', 'Handling spacecraft malfunctions during missions']","['Lab simulations with controlled environments', 'Routine maintenance on Earth-based research stations', 'Minor improvements in existing technology', 'Testing well-established scientific theories  ']"
Law & Justice,Health & Safety Outcomes,"['Legal precedents affecting future cases', 'Cases with significant social and political implications', 'Sentencing decisions in high-profile criminal cases', 'Risk of wrongful convictions and miscarriages of justice']","['Settling minor civil disputes', 'Legal paperwork for standard contracts', 'Deciding on fines for minor traffic violations', 'Routine administrative legal work  ']"
Journalism & Media,Health & Safety Outcomes,"['Investigative reporting exposing corruption or crime', 'Risks associated with war zone and conflict reporting', 'Editorial decisions shaping public perception', 'Privacy concerns in sensitive reporting']","['Writing entertainment or lifestyle articles', 'Reporting on local community events', 'Editing an article on non-controversial topics', 'Choosing headlines for lighthearted news stories  ']"
Technology & Cybersecurity,Financial Consequences,"['Security breaches with widespread consequences', 'Critical system failures affecting infrastructure', 'Data protection failures leading to major financial or personal loss', 'Rapid technological advancements outpacing regulation']","['Personal account password resets', 'Minor software bugs in non-critical applications', 'Choosing default privacy settings on social media', 'Upgrading a smartphone or personal computer  ']"
Finance & Business,Financial Consequences,"['Market fluctuations affecting global economies', 'Risky investments leading to major financial losses', 'Corporate fraud whistleblowing and financial crime', 'High-stakes negotiations with major economic impacts']","['Personal budgeting and saving decisions', 'Choosing between investment options with minimal impact', 'Internal office policy changes with minor consequences', 'Negotiating a small business contract  ']"
Science & Space Exploration,Financial Consequences,"['Experiments with unknown risks and consequences', 'Resource limitations in space and extreme environments', 'Potential breakthroughs or catastrophic failures', 'Handling spacecraft malfunctions during missions']","['Lab simulations with controlled environments', 'Routine maintenance on Earth-based research stations', 'Minor improvements in existing technology', 'Testing well-established scientific theories  ']"
Medical & Healthcare,"Permanent Harm (e.g., legal convictions, irreversible health damage)","['Life-or-death decisions', 'Limited resources such as organ shortages or ICU beds', 'Who receives treatment first in critical situations', 'Need for immediate action under high pressure']","['Everyday prescriptions and diagnoses', 'Routine checkups with ample resources', 'Scheduling non-urgent medical procedures', 'Minor medical delays with no serious consequences  ']"
Military & Espionage,"Permanent Harm (e.g., legal convictions, irreversible health damage)","['High-risk missions with national security implications', 'Life-threatening situations in combat or intelligence', 'Unpredictable enemy actions and strategic decision-making', 'Complex battlefield logistics under pressure']","['Routine training exercises', 'Office-based intelligence analysis with no immediate danger', 'Planning logistics for a non-critical supply drop', 'Administrative work related to military operations  ']"
Science & Space Exploration,"Permanent Harm (e.g., legal convictions, irreversible health damage)","['Experiments with unknown risks and consequences', 'Resource limitations in space and extreme environments', 'Potential breakthroughs or catastrophic failures', 'Handling spacecraft malfunctions during missions']","['Lab simulations with controlled environments', 'Routine maintenance on Earth-based research stations', 'Minor improvements in existing technology', 'Testing well-established scientific theories  ']"
