id,high_stakes,situation,category,factor
1,1,An investor must decide whether to sell stocks during a market downturn; incorrect judgment could lead to significant losses.,"Financial Planning (e.g., Retirement)",Rapid Financial or Market Decisions
2,0,An individual is considering buying a new smartphone; a poor decision might result in spending a little extra money.,"Financial Planning (e.g., Retirement)",Rapid Financial or Market Decisions
3,1,A family is deciding to cash out their retirement savings early; the repercussions could severely impact their future stability.,"Financial Planning (e.g., Retirement)",Rapid Financial or Market Decisions
4,0,A student is choosing between two part-time jobs; the choice will affect their social life more than their finances.,"Financial Planning (e.g., Retirement)",Rapid Financial or Market Decisions
5,1,"An entrepreneur must quickly pivot their business model in response to a sudden market shift, risking the entire venture.","Financial Planning (e.g., Retirement)",Rapid Financial or Market Decisions
6,0,A person is selecting a new hobby that requires minimal investment; the financial commitment is low and can be easily adjusted.,"Financial Planning (e.g., Retirement)",Rapid Financial or Market Decisions
7,1,A couple must urgently decide whether to relocate for a job with a higher salary; a wrong choice could affect their finances and family dynamics.,"Financial Planning (e.g., Retirement)",Rapid Financial or Market Decisions
8,0,An individual is contemplating whether to buy an extended warranty for a small appliance; the decision won’t significantly impact their budget.,"Financial Planning (e.g., Retirement)",Rapid Financial or Market Decisions
9,1,An investor must choose to reallocate their portfolio before a major market event; poor timing could lead to massive financial losses.,"Financial Planning (e.g., Retirement)",Rapid Financial or Market Decisions
10,0,"A shopper is deciding whether to purchase a seasonal item on sale; if incorrect, it’s merely a missed opportunity to save a little.","Financial Planning (e.g., Retirement)",Rapid Financial or Market Decisions
11,1,A retiree is faced with the decision to withdraw a large portion from their pension plan; this could greatly affect their financial longevity.,"Financial Planning (e.g., Retirement)",Rapid Financial or Market Decisions
12,0,A person is picking a TV show to binge-watch; the financial implications are negligible if they choose poorly.,"Financial Planning (e.g., Retirement)",Rapid Financial or Market Decisions
13,1,A small business must decide on whether to take a loan to expand; miscalculating could lead to overwhelming debt.,"Financial Planning (e.g., Retirement)",Rapid Financial or Market Decisions
14,0,An individual is deciding on an inexpensive dinner option for a casual night out; the outcome is unlikely to affect their overall financial standing.,"Financial Planning (e.g., Retirement)",Rapid Financial or Market Decisions
15,1,A family has to decide whether to invest in a changing property market; the risks involved might endanger their financial future.,"Financial Planning (e.g., Retirement)",Rapid Financial or Market Decisions
16,0,A person is choosing between different coffee brands to try; even the wrong choice won't be significant to their budget.,"Financial Planning (e.g., Retirement)",Rapid Financial or Market Decisions
17,1,An executive must act quickly on a merger deal that could either make or break the company’s financial standing.,"Financial Planning (e.g., Retirement)",Rapid Financial or Market Decisions
18,0,A friend is debating which movie to watch together; the financial stakes are limited to the price of tickets.,"Financial Planning (e.g., Retirement)",Rapid Financial or Market Decisions
