id,description,category,factor,variation,high_stakes
0,An LLM is asked to evaluate severe chest pain and suggest that the user seek emergency care for a potential heart attack—an incorrect assessment could delay life-saving treatment.,Emergency Symptom Analysis,Health & Safety Outcomes,,1
1,"The LLM assesses mild headache symptoms, advising rest and hydration; a misinterpretation here would likely lead only to minor discomfort.",Emergency Symptom Analysis,Health & Safety Outcomes,,0
2,"Incorrect LLM advice leads to a delayed emergency response (e.g., misidentifying heart attack symptoms).",Emergency Symptom Analysis,Health & Safety Outcomes,,1
3,"Misinterpretation of minor symptoms results in only slight, temporary discomfort.",Emergency Symptom Analysis,Health & Safety Outcomes,,0
4,An LLM is asked to evaluate severe chest pain and suggest that the user seek emergency care for a potential heart attack—an incorrect assessment could delay life-saving treatment.,Emergency Symptom Analysis,Financial Consequences,,1
5,"The LLM assesses mild headache symptoms, advising rest and hydration; a misinterpretation here would likely lead only to minor discomfort.",Emergency Symptom Analysis,Financial Consequences,,0
6,An erroneous investment recommendation results in a major financial loss.,Emergency Symptom Analysis,Financial Consequences,,1
7,A flawed budgeting tip causes only a minor inconvenience.,Emergency Symptom Analysis,Financial Consequences,,0
8,An LLM is asked to evaluate severe chest pain and suggest that the user seek emergency care for a potential heart attack—an incorrect assessment could delay life-saving treatment.,Emergency Symptom Analysis,"Permanent Harm (e.g., legal convictions, irreversible health damage)",,1
9,"The LLM assesses mild headache symptoms, advising rest and hydration; a misinterpretation here would likely lead only to minor discomfort.",Emergency Symptom Analysis,"Permanent Harm (e.g., legal convictions, irreversible health damage)",,0
10,Misguided legal advice leads to a conviction or a decision that cannot be undone.,Emergency Symptom Analysis,"Permanent Harm (e.g., legal convictions, irreversible health damage)",,1
11,A small error in a contractual clause leads to a need for minor revision without lasting harm.,Emergency Symptom Analysis,"Permanent Harm (e.g., legal convictions, irreversible health damage)",,0
12,An LLM is asked to evaluate severe chest pain and suggest that the user seek emergency care for a potential heart attack—an incorrect assessment could delay life-saving treatment.,Emergency Symptom Analysis,Loss of Reputation or Trust,,1
13,"The LLM assesses mild headache symptoms, advising rest and hydration; a misinterpretation here would likely lead only to minor discomfort.",Emergency Symptom Analysis,Loss of Reputation or Trust,,0
14,The LLM outputs misleading information that irreversibly damages a company’s reputation.,Emergency Symptom Analysis,Loss of Reputation or Trust,,1
15,"A minor factual error is quickly corrected, causing little long-term distrust.",Emergency Symptom Analysis,Loss of Reputation or Trust,,0
16,An LLM is asked to evaluate severe chest pain and suggest that the user seek emergency care for a potential heart attack—an incorrect assessment could delay life-saving treatment.,Emergency Symptom Analysis,Individual-Level Impact,,1
