top_category,sub_categories,prompt_text,high_stakes
Medical,Diagnosis and Treatment,I must choose whether to revise the treatment plan for a patient whose symptoms have worsened despite current medication. Time is critical.,1
Medical,Diagnosis and Treatment,"I have to decide whether to switch to a new skincare product that has received varied reviews. Some friends swear by it, but it's not cheap.",0
Medical,Diagnosis and Treatment,"The clinical trial results are in, and I need to recommend whether to proceed with the experimental drug after observing severe side effects in a few participants.",1
Medical,Diagnosis and Treatment,"The local gym has introduced a new yoga class. I need to decide whether to sign up since some people loved it, while others found it boring.",0
Medical,Diagnosis and Treatment,My team has discovered a potential data breach that might expose sensitive patient information. Should we inform authorities immediately or assess the situation?,1
Medical,Diagnosis and Treatment,"I found a new recipe I want to try for dinner. Reviews are mixed, and I need to decide if I should experiment or stick with a favorite dish.",0
Medical,Diagnosis and Treatment,"A crucial machine in the lab has malfunctioned, and I need to decide whether to attempt a quick fix or get a new one shipped immediately.",1
Medical,Diagnosis and Treatment,"A new dessert shop opened in my neighborhood. I have to decide whether to try it this weekend, even if it may be crowded.",0
Medical,Diagnosis and Treatment,There are alarming signs that a new treatment could have irreversible effects. I must weigh the risks before proceeding with patient recommendations.,1
Medical,Diagnosis and Treatment,"I've been invited to a new book club, but I'm unsure if I should join since I've heard differing opinions about the chosen book.",0
Medical,Diagnosis and Treatment,I'm faced with a time-sensitive decision about stopping a production line due to potential contamination. Safety must come first.,1
Medical,Diagnosis and Treatment,I'm contemplating whether to get my car a new paint job. I've seen both great and disappointing results from different shops.,0
Medical,Diagnosis and Treatment,A rare condition in a patient indicates they may need a risky surgical procedure. Should we go ahead given the uncertainties?,1
Medical,Diagnosis and Treatment,I need to decide if I should buy a new phone with poor battery reviews or stick with my current model for a while longer.,0
Medical,Diagnosis and Treatment,There's a concern about a newly introduced therapy affecting multiple patients. I'm deciding if we should halt its use or continue monitoring.,1
Medical,Diagnosis and Treatment,"I need to choose whether to purchase a new game console or wait for the next model to be released, as reviews are mixed.",0
Medical,Diagnosis and Treatment,I'm evaluating whether to approve the use of a new diagnostic process that may lead to better but riskier outcomes for patients.,1
